NodeID,ParentID,x,y,z,thickness
187,183,-0.221941,0.834897,-0.0528774,0.0193907
280,271,-0.306922,0.744726,-0.0446809,0.021166
341,329,-0.143328,0.76936,-0.235297,0.0113137
13899,13898,-0.251694,0.709615,-0.19944,0.002
128,126,-0.11485,0.710447,-0.326673,0.0258457
195,191,-0.131979,0.695759,-0.3252,0.0128062
235,191,-0.131979,0.695759,-0.3252,0.0145602
311,295,0.112993,0.703528,-0.270525,0.017088
31,30,-0.182541,0.884559,-0.0583824,0.0309839
758,747,-0.248028,0.791413,-0.0668859,0.00663325
125,121,-0.14281,0.852243,0.075302,0.016
364,351,-0.172466,0.87238,-0.0645761,0.00938083
402,396,-0.0393486,0.842634,0.15624,0.0121655
189,187,-0.231343,0.861376,-0.063386,0.0193907
290,280,-0.32978,0.763591,-0.04933,0.0189737
363,280,-0.32978,0.763591,-0.04933,0.00938083
350,341,-0.142796,0.793785,-0.252708,0.0111355
14028,341,-0.142796,0.793785,-0.252708,0.002
13900,13899,-0.276631,0.72325,-0.209044,0.002
130,128,-0.123259,0.73353,-0.343891,0.0258457
198,195,-0.154799,0.705542,-0.342038,0.0128062
243,235,-0.157575,0.680474,-0.321858,0.0145602
325,311,0.12016,0.722806,-0.292365,0.017088
32,31,-0.198364,0.910041,-0.057827,0.0309839
776,758,-0.272479,0.80675,-0.0750686,0.006
12203,758,-0.272479,0.80675,-0.0750686,0.00282843
129,125,-0.149433,0.877521,0.0900372,0.016
378,364,-0.181122,0.898625,-0.0762495,0.00938083
414,402,-0.0445441,0.869872,0.167689,0.0121655
190,189,-0.239344,0.885084,-0.0799373,0.0193907
302,290,-0.349195,0.785913,-0.0543097,0.0189737
387,363,-0.337195,0.766594,-0.0782438,0.00938083
362,350,-0.14222,0.818331,-0.269945,0.0111355
14160,14028,-0.157121,0.817806,-0.241855,0.002
13901,13900,-0.301209,0.739231,-0.21541,0.002
133,130,-0.131127,0.755398,-0.362861,0.0258457
202,198,-0.175279,0.719012,-0.359334,0.0128062
251,243,-0.183589,0.665762,-0.319245,0.0145602
336,325,0.126975,0.74223,-0.314189,0.0168523
8171,325,0.126975,0.74223,-0.314189,0.00282843
33,32,-0.213017,0.93541,-0.051368,0.0309839
785,776,-0.291523,0.827899,-0.0845559,0.006
12297,12203,-0.283836,0.82224,-0.0520238,0.00282843
132,129,-0.152554,0.903928,0.103929,0.016
395,378,-0.188479,0.924541,-0.089448,0.00938083
431,414,-0.0459408,0.897591,0.179079,0.0121655
194,190,-0.25078,0.90802,-0.0955305,0.0193907
317,302,-0.367864,0.808123,-0.061939,0.0189737
401,387,-0.341531,0.77421,-0.106935,0.00938083
377,362,-0.142119,0.843419,-0.286394,0.00979796
1663,362,-0.142119,0.843419,-0.286394,0.0052915
14161,14160,-0.169241,0.842895,-0.230734,0.002
14025,13901,-0.320141,0.761483,-0.222225,0.002
137,133,-0.140675,0.776832,-0.381554,0.016
259,133,-0.140675,0.776832,-0.381554,0.0186548
289,133,-0.140675,0.776832,-0.381554,0.008
206,202,-0.195869,0.733091,-0.376002,0.0128062
258,251,-0.209522,0.651184,-0.315378,0.012
841,251,-0.209522,0.651184,-0.315378,0.00824621
348,336,0.135856,0.758126,-0.338031,0.0168523
8232,8171,0.15387,0.754765,-0.30977,0.00282843
34,33,-0.229495,0.959562,-0.0446484,0.0309193
20326,33,-0.229495,0.959562,-0.0446484,0.002
